,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް (ސްކޫލުގެ އެކިއެކި ކަންކަމާ ގުޅޭ),,,,,,,
,ލީޑިންގ ޓީޗަރ: ޝީޓް  2- (އެކި އެކި ލީޑިން ޓީޗަރުންގެ ފަރާތުން ހޯދާ މަޢުލޫމާތުގެ މައްޗަށް ބިނާކޮށް ޓީމުން ގޮތް ނިންމުން),,,,,,,
IndicatorCode,Average,ބަލާނެ ލިޔެކިޔުން/Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
99,1,އެސެސްމެންޓް ރިކޯޑް ޝީޓް / ޗެކުލިސްޓު/ ހިއްސާކުރި ގޮތާއި ހެކި,3- ދަރިވަރުން ކުރިއަރަމުން އަންނަ މިންވަރު ދަރިވަރުންނާ ހިއްސާކުރޭ,އެސެސްމަންޓް އޮފް ލަރނިން ކުރިއަށް ގެންދިއުން ,2.1.3.2,އެސެސްމަންޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,2.1.3,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
100,1, ޔައުމިއްޔާ /ހާޒިރީ / ޕީޓީއެސް އަށް ތައްޔާރުކުރި އެސެސްމެންޓް ރިކޯޑް ޝީޓް ,4- ދަރިވަރުން ކުރިއަރަމުން އަންނަ މިންވަރު ބެލެނިވެރިންނާ ހިއްސާކުރޭ,އެސެސްމަންޓް އޮފް ލަރނިން ކުރިއަށް ގެންދިއުން ,2.1.3.2,އެސެސްމަންޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,2.1.3,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
101,1,"-އިތުރު އެހީ ބޭނުންވާ ދަރިވަރުންގެ ލިސްޓު
-އިތުރު އެހީ ދޭނެ ގޮތުގެ ޕްލޭން ( ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ އެހީތެރިކަން އެނގޭގޮތަށް)
- ޝެޑިއުލް",5- ދަރިވަރުންގެ ނަތީޖާތަކަށް ބިނާކޮށް އިތުރު އެހީ ބޭނުންވާ ދަރިވަރުންގެ ލިސްޓު ތައްޔާރުކޮށް، އެ ދަރިވަރުންނަށް އެހީތެރިކަން ފޯރުކޮށްދޭ,އެސެސްމަންޓް އޮފް ލަރނިން ކުރިއަށް ގެންދިއުން ,2.1.3.2,އެސެސްމަންޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,2.1.3,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
437,1, ބެލުމަށް ހަމަޖައްސައިފައިވާ އިންތިޒާމް,3- ދަރިވަރުންގެ ފޮތްތައް ބެލެނިވެރިން ބަލާކަން ކަށަވަރުކުރޭ,އުނގަންނައިދިނުމުާ ގުޅޭ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1.2,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
445,1,ސަބަބު ބަޔާންކޮށް އަންގާކަން އެނގޭ ރެކޯޑު,1- އެއްވެސް ސަބަބަކާހުރެ ދަރިވަރަކަށް ސްކޫލަށް ހާޒިރުނުވެވޭ ނަމަ، ސަބަބު ބަޔާންކޮށް ދުވަހުން ދުވަހަށް ކުލާސް ޓީޗަރަށް ބެލެނިވެރިޔާ އަންގާ,ދަރިވަރުންގެ ހާޒިރީއާ ގުޅޭ ގޮތުން މުޢާމަލާތްކުރުން ,4.2.1.1,ބެލެނިވެރިންނާއި ސްކޫލާ ދެމެދު މުއާމަލާތްކުރުން,4.2.1,ފެންވަރު 4.2: ބެލެނިވެރިންނާ މުއާމަލާތުކުރުން
446,1,ހާޒިރީ/ގަޑިޖެހިގެން އަންނަ ދަރިވަރުންގެ ރެކޯޑު,2- ގަޑިޖެހިގެން  ސްކޫލަށް ހާޒިރުވާ ދަރިވަރުންގެ މަޢުލޫމާތު ބަލަހައްޓާ,ދަރިވަރުންގެ ހާޒިރީއާ ގުޅޭ ގޮތުން މުޢާމަލާތްކުރުން ,4.2.1.1,ބެލެނިވެރިންނާއި ސްކޫލާ ދެމެދު މުއާމަލާތްކުރުން,4.2.1,ފެންވަރު 4.2: ބެލެނިވެރިންނާ މުއާމަލާތުކުރުން
447,1,ހިއްސާކުރާ ގޮތެއް,3- ރަސްމީ ގަޑި ފިޔަވައި އެހެން ގަޑިތަކުގައި ދަރިވަރުންގެ ސްކޫލަށް ހާޒިރުވާންޖެހޭ ގޮތުގެ މަޢުލޫމާތު ބެލެނިވެރިންނާ ހިއްސާކުރޭ,ދަރިވަރުންގެ ހާޒިރީއާ ގުޅޭ ގޮތުން މުޢާމަލާތްކުރުން ,4.2.1.1,ބެލެނިވެރިންނާއި ސްކޫލާ ދެމެދު މުއާމަލާތްކުރުން,4.2.1,ފެންވަރު 4.2: ބެލެނިވެރިންނާ މުއާމަލާތުކުރުން
511,1,ދަރިވަރުންގެ ހާޒިރީ,1- ދުވަހުން ދުވަހަށް ދަރިވަރުންގެ ހާޒިރީ އަދާހަމަކުރޭ,ދަރިވަރުންގެ ހާޒިރީއާ ގުޅޭ ކަންކަމުގައި އެޓެންޑެންސް ޕޮލިސީއާ އެއްގޮތަށް ޢަމަލުކުރުން,5.2.3.1,އެޓެންޑެންސް ޕޮލިސީއާ އެއްގޮތަށް ޢަމަލުކުރުން,5.2.3,ފެންވަރު 5.2: އިދާރީ ހިންގުން
512,1,ދަރިވަރުންގެ ހާޒިރީ/ހޯމް ވިޒިޓް ފޯމް,2- ޕޮލިސީއާ އެއްގޮތައް ހާޒިރުނުވާ (3 ދުވަސް، 10 ދުވަސް)ދަރިވަރުންގެ ބެލެނިވެރިންނަށް ގުޅާ ހޯމް ވިޒިޓް ހަދާ ,ދަރިވަރުންގެ ހާޒިރީއާ ގުޅޭ ކަންކަމުގައި އެޓެންޑެންސް ޕޮލިސީއާ އެއްގޮތަށް ޢަމަލުކުރުން,5.2.3.1,އެޓެންޑެންސް ޕޮލިސީއާ އެއްގޮތަށް ޢަމަލުކުރުން,5.2.3,ފެންވަރު 5.2: އިދާރީ ހިންގުން
513,1,ދަރިވަރުންގެ ހާޒިރީ/ހޯމް ވިޒިޓް ފޯމް/މިނިސްޓްރީއަށް ހިއްސާކޮށްފައިވާ ލިޔުންތައް,3- ދިގު މުއްދަތަކަށް ހާޒިރުނުވާ ދަރިވަރުންގެ މަޢުލޫމާތު މިނިސްޓްރީއަށް ހިއްސާކޮށް ލިޔެކިޔުންތައް ބަލަހައްޓާ,ދަރިވަރުންގެ ހާޒިރީއާ ގުޅޭ ކަންކަމުގައި އެޓެންޑެންސް ޕޮލިސީއާ އެއްގޮތަށް ޢަމަލުކުރުން,5.2.3.1,އެޓެންޑެންސް ޕޮލިސީއާ އެއްގޮތަށް ޢަމަލުކުރުން,5.2.3,ފެންވަރު 5.2: އިދާރީ ހިންގުން
