BD,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
484,1- ސިޕްގައިވާ ހަރަކާތްތައް، ކަނޑައަޅައިފައިވާ ގޮތަށް ކުރިއަށް ގެންދޭ,ސިޕް ތަންފީޒުކުުރުން,5.1.5.3,ސްކޫލް އިމްޕްރޫވްމަންޓް ޕްލޭން (ސިޕް) ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.5,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
485,2- ސިޕް ތަންފީޒުކުރެވޭ މިންވަރު މޮނިޓަރކޮށް މުޠާލިޔާކުރޭ,ސިޕް ތަންފީޒުކުުރުން,5.1.5.3,ސްކޫލް އިމްޕްރޫވްމަންޓް ޕްލޭން (ސިޕް) ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.5,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
486,3- ގެނެވުނު ބަދަލުތައް ހިއްސާވާ ފަރާތްތަކާ ހިއްސާކޮށްފައި ވޭ,ސިޕް ތަންފީޒުކުުރުން,5.1.5.3,ސްކޫލް އިމްޕްރޫވްމަންޓް ޕްލޭން (ސިޕް) ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.5,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
487,1- ޕީޑީ ކޯޑިނޭޓަރެއްގެ މަސްއޫލިއްޔަތު މުވައްޒަފަކާ ލިޔުމުން ހަވާލުކޮށްފައި ވޭ,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް (ޕީޑީ) ޕްލޭންކުރުން ,5.1.6.1,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް ޕްލޭންކޮށް ތަންފީޒުކުރުން ,5.1.6,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
488,2- ނީޑް އެނަލިސިސްގެ މައްޗަށް ބިނާކޮށް ޕީޑީ ޕްލޭން ތައްޔާރުކޮށްފައި ވޭ,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް (ޕީޑީ) ޕްލޭންކުރުން ,5.1.6.1,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް ޕްލޭންކޮށް ތަންފީޒުކުރުން ,5.1.6,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
489,3- ލެސަން އޮބްޒަވޭޝަންތަކުން ފާހަގަވާ ކަންތައްތައް ޕީޑީ ޕްލޭނުގައި ހިމަނައިފައި ވޭ,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް (ޕީޑީ) ޕްލޭންކުރުން ,5.1.6.1,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް ޕްލޭންކޮށް ތަންފީޒުކުރުން ,5.1.6,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
490,4- ޕީޑީ ޕްލޭނާ އެއްގޮތަށް ކުރިއަށް ގެންދޭ,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް (ޕީޑީ) ޕްލޭންކުރުން ,5.1.6.1,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް ޕްލޭންކޮށް ތަންފީޒުކުރުން ,5.1.6,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
491,5- އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅުންހުރި ތަމްރީނު ޕްރޮގްރާމް، ސްކޫލުގެ ޕީޑީ ޕްލޭނުގައި ހިމަނައިފައި ވޭ,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް (ޕީޑީ) ޕްލޭންކުރުން ,5.1.6.1,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް ޕްލޭންކޮށް ތަންފީޒުކުރުން ,5.1.6,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
492,1- އަހަރަކު މަދުވެގެން 16ގަޑިއިރާއި 20 ގަޑިއިރާ ދެމެދުގެ ޕީޑީ ޕްރޮގްރާމް ފަންނީ މުވައްޒަފުންނަށް ހިންގާ,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް (ޕީޑީ) ކުރިއަށް ގެންދިއުން  ,5.1.6.2,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް ޕްލޭންކޮށް ތަންފީޒުކުރުން ,5.1.6,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
493,2- އަހަރަކު މަދުވެގެން 6 ގަޑިއިރުގެ ޕީޑީ ޕްރޮގްރާމް އިދާރީ މުވައްޒަފުންނަށް ހިންގާ,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް (ޕީޑީ) ކުރިއަށް ގެންދިއުން  ,5.1.6.2,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް ޕްލޭންކޮށް ތަންފީޒުކުރުން ,5.1.6,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
