,,,,Classroom Obervations (Foundation),T1,,T2,,T3,,T4,,T5,
IndicatorCode,Average,OutcomeNo,Outcomes,Indicators,LO1,LO2,LO1,LO2,LO1,LO2,LO1,LO2,LO1,LO2
283,,2.3.6.1,ފިލާވަޅު ވަޒަންކުރުން ,2-  އުނގަންނައިދިން އެއްޗަކަށް ބިނާކޮށްގެން އުނގެނުމާއި އުނގަންނައިދިނުން ވަޒަންކުރޭ,,,,,,,,,,
284,,2.3.6.1,ފިލާވަޅު ވަޒަންކުރުން ,3- ތަފާތު ފެންވަރުގެ ދަރިވަރުންނަށް އަމާޒުކޮށްގެން ފެންވަރު ވަޒަންކުރޭ,,,,,,,,,,
285,,2.3.6.1,ފިލާވަޅު ވަޒަންކުރުން ,4- ސަކްސެސް ކްރައިޓީރިއާގައިވާ ކަންކަން ޙާޞިލުވާ މިންވަރު ވަޒަންކުރުމަށް ބާރުއަޅާ,,,,,,,,,,
286,,2.3.6.1,ފިލާވަޅު ވަޒަންކުރުން ,5- ސަކްސެސް ކްރައިޓީރިއާގައިވާ ކަންކަން ޙާޞިލުވާކަން ކަށަވަރުކުރޭ,,,,,,,,,,
287,,2.3.7.1,މައިގަނޑު ޤާބިލިއްޔަތުތައް ތަރައްގީކުރުން,1- ފިލާވަޅުގައި ހިމަނައިފައިވާ ޤާބިލިއްޔަތުތައް ހިއްސާކުރޭ,,,,,,,,,,
288,,2.3.7.1,މައިގަނޑު ޤާބިލިއްޔަތުތައް ތަރައްގީކުރުން,2- ޤާބިލިއްޔަތުތަކުގެ މުހިންމުކަން އަންގައިދީ އޮޅުންފިލުވައިދޭ,,,,,,,,,,
289,,2.3.7.1,މައިގަނޑު ޤާބިލިއްޔަތުތައް ތަރައްގީކުރުން,3- ދަރިވަރުންގެ ކިބައިގައި ޤާބިލިއްޔަތުތައް އަށަގެންނެވޭ ފަދަ އުނގެނުމުގެ ހަރަކާތްތައް ގެންދޭ,,,,,,,,,,
290,,2.3.7.2,ހިއްސާކުރާ އަގުތައް ތަރައްގީކުރުން,1- ފިލާވަޅުގައި ހިމަނައިފައިވާ ހިއްސާކުރާ އަގުތައް ހިއްސާކުރޭ,,,,,,,,,,
291,,2.3.7.2,ހިއްސާކުރާ އަގުތައް ތަރައްގީކުރުން,2- ހިއްސާކުރާ އަގުތަކުގެ މުހިންމުކަން އަންގައިދީ އޮޅުންފިލުވައިދޭ,,,,,,,,,,
292,,2.3.7.2,ހިއްސާކުރާ އަގުތައް ތަރައްގީކުރުން,3- ހިއްސާކުރާ އަގުތައް އަށަގެންނެވޭ ފަދަ އުނގެނުމުގެ ހަރަކާތްތައް ގެންދޭ,,,,,,,,,,
293,,2.3.8.1,ފިލާވަޅުގެ މަގުސަދު ޙާޞިލުވިކަން އެނގޭފަދަ ނިންމުމެއް ގެނައުން,1- ފިލާވަޅުގެ މުހިންމު ބައިތަކަށް އަލިއަޅުވައިލާ,,,,,,,,,,
294,,2.3.8.1,ފިލާވަޅުގެ މަގުސަދު ޙާޞިލުވިކަން އެނގޭފަދަ ނިންމުމެއް ގެނައުން,2- ލަރނިން އިންޓެންޝަން ޙާޞިލުވިތޯ ބަލާ,,,,,,,,,,
295,,2.3.8.1,ފިލާވަޅުގެ މަގުސަދު ޙާޞިލުވިކަން އެނގޭފަދަ ނިންމުމެއް ގެނައުން,3- ކުރިއަށް އޮތް ފިލާވަޅާ މެދު ވިސްނުމަށް މަގުފަހިކުރުވާ,,,,,,,,,,
