IndicatorCode,ސުވާލުކުރާނެ ފަރާތް/Informant/Interviiewee/stakeholder,ބަލާނެ ލިޔެކިޔުން/Evidence,General Observations,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StarndNo and Strand
19,ޕްރިންސިޕަލް/ޑެޕިއުޓީ ޕްރިންސިޕަލް,"- ޔައުމިއްޔާ
- ހާޒިރީ
- ގުޅުންހުރި ފޮޓޯ",,2-  ބެލެނިވެރިންނަށް ޕްރޮގްރާމް ހިންގައިފައި ވޭ,ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުންނާމެދު، ސްކޫލް ހިއްސާވާ ފަރާތްތަކުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް ޕްރޮގްރާމް ހިންގުން,1.1.2.6,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
20,ޕްރިންސިޕަލް/ޑެޕިއުޓީ ޕްރިންސިޕަލް,"- ޔައުމިއްޔާ
- ހާޒިރީ
- ގުޅުންހުރި ފޮޓޯ",,3- ދަރިވަރުންނަށް ޕްރޮގްރާމް ހިންގައިފައި ވޭ,ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުންނާމެދު، ސްކޫލް ހިއްސާވާ ފަރާތްތަކުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް ޕްރޮގްރާމް ހިންގުން,1.1.2.6,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
22,ސެން އެލްޓީ,ކޮމިޓީގައި ހިމެނޭ މެންބަރުންގެ ލިސްޓު/ޔައުމިއްޔާ,,1- ކޮމިޓީގައި ހިމަނަންޖެހޭ ފަރާތްތައް ހިމަނައިފައި ވޭ,އިންކްލޫޝަން ކޮމިޓީ އެކުލަވައިލުން,1.2.1.1,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
23,އެެޗް އާރު,މެންބަރުންގެ ވަޒީފާ ބަޔާންތައް,,2- ކޮމިޓީގެ މެންބަރުންނަށް މަސްއޫލިއްޔަތު ލިޔުމުން ހަވާލުކޮށްފައި ވޭ,އިންކްލޫޝަން ކޮމިޓީ އެކުލަވައިލުން,1.2.1.1,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
24,ސެން އެލްޓީ,- ހިއްސާކޮށްފައިވާ ގޮތެއް (ޔައުމިއްޔާ/ހާޒިރީ/ޑިސްޕްލޭކޮށްފައިވާ ލިސްޓް/ޕޯޓަލް),,3- ކޮމިޓީގެ މަޢުލޫމާތު ކަމާ ގުޅުންހުރި ފަރާތްތަކާ ހިއްސާކޮށްފައި ވޭ,އިންކްލޫޝަން ކޮމިޓީ އެކުލަވައިލުން,1.2.1.1,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
25,އެޗްއާރް,ވަޒީފާބަޔާން,,1- މަސްއޫލިއްޔަތު އަދާކުރުމަށް ވަކި މުވައްޒަފަކު ހަމަޖައްސައި ވަޒީފާ ބަޔާނުގައި ސޮއިކުރުވައިފައި ވޭ, އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންތައްތައް ބެލެހެއްޓުމުގެ މަސްއޫލިއްޔަތު ހަވާލުކުރުން,1.2.1.2,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
26,ޕްރިންސިޕަލް/ޑެޕިއުޓީ ޕްރިންސިޕަލް,ކަށަވަރުކުރާކަން އެނގޭ ޑޮކިއުމެންޓެއް,,2- މަސްއޫލިއްޔަތު އަދާކުރާކަން ސުޕަވައިޒަރު ކަށަވަރުކުރޭ , އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންތައްތައް ބެލެހެއްޓުމުގެ މަސްއޫލިއްޔަތު ހަވާލުކުރުން,1.2.1.2,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
27,ސެން އެލްޓީ,"- ސެން މުދައްރިސުންގެ ލިސްޓު
- ދަރިވަރުންގެ ލިސްޓް
- ރިކުއަރމެންޓް",,3- ތަމްރީނު ލިބިފައިވާ ސެން މުދައްރިސުން، ދަރިވަރުންގެ ނިސްބަތުން ތިބޭ, އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންތައްތައް ބެލެހެއްޓުމުގެ މަސްއޫލިއްޔަތު ހަވާލުކުރުން,1.2.1.2,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
28,,,ގޭޓް، ކޮމްޕައުންޑް,1- ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ ހެދޭ ގޮތަށް، ސްކޫލުގެ ގޭޓާއި ކޮމްޕައުންޑް ތައްޔާރުކޮށްފައި ވޭ,ޖިސްމާނީ ގޮތުން އެހީތެރިކަން ބޭނުންވާ ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ އުޅެވޭ ގޮތް ހެދުން,1.2.1.3,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
29,,,ކުލާސްރޫމުތައް,2-  ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ ހެދޭ ގޮތަށް، ކްލާސްރޫމްތައް ތައްޔާރުކޮށްފައި ވޭ,ޖިސްމާނީ ގޮތުން އެހީތެރިކަން ބޭނުންވާ ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ އުޅެވޭ ގޮތް ހެދުން,1.2.1.3,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
