,މަޢުލޫމާތު އެއްކުރުމަށް ޓަކައި އޮބްޒަވޭޝަނުން ބަލާނެ ކަންތައްތައް,,,,,,,,,
IndicatorCode,Score,ސުވާލުކުރާނެ ފަރާތް,ބަލާނެ ލިޔެކިޔުން,General Observation,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
361,1,,,ސްކޫލުގެ ގޯތިތެރެއާއި ކުޅިވަރު ކުޅުމަށް ކަނޑައަޅއިފައިވާ ސަރަހައްދު,3- ކުޅިވަރުކުޅުމަށް ކަނޑައަޅައިފައިވާ ސަރަހައްދަކީ ދަރިވަރުންނަށް ރައްކައުތެރި ތަނެއްކަން ކަށަވަރުކުރޭ,ސްކޫލް ގޯތިތެރޭގެ ރައްކައުތެރިކަން ކަށަވަރުކުރުން ,3.2.1.2,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
362,1,,,ކުޅިވަރު ކުޅުމަށް ކަނޑައަޅއިފައިވާ ތަކެތި,1- އައުޓްޑޯ އޭރިއާގައިވާ ތަކެއްޗަކީ ރައްކައުތެރި ތަކެތިކަން ކަށަވަރުކުރޭ,ފައުންޑޭޝަން ދަރިވަރުންގެ އައުޓްޑޯ އޭރިއާގެ ރައްކައުތެރިކަން ކަށަވަރުކުރުން ,3.2.1.3,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
364,1,,,އައުޓްޑޯ އޭރިއާ ,3- އައުޓްޑޯ އޭރިއާ ސާފުތާހިރުކޮށް ބަލަހައްޓާ,ފައުންޑޭޝަން ދަރިވަރުންގެ އައުޓްޑޯ އޭރިއާގެ ރައްކައުތެރިކަން ކަށަވަރުކުރުން ,3.2.1.3,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
365,1,,,ފައުންޑޭޝަން ކްލާސްރޫމް ,1- ކްލާހުގައި ހުންނަނީ ދަރިވަރުންގެ އުމުރާ ގުޅޭ ފަރުނީޗަރުކަން ކަށަވަރުކުރޭ ,ފައުންޑޭޝަން ކްލާސްރޫމްތަކުގެ ރައްކައުތެރިކަން ކަށަވަރުކުރުން,3.2.1.4,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
366,1,,,ފައުންޑޭޝަން ކްލާސްރޫމް ,2- ދަރވަރުންނަށް ހެލިފެލިވެ އުޅުމަށް ދަތިނުވާ ގޮތަށް ފަރުނީޗަރު އަތުރައިފައި ހުރޭ,ފައުންޑޭޝަން ކްލާސްރޫމްތަކުގެ ރައްކައުތެރިކަން ކަށަވަރުކުރުން,3.2.1.4,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
367,1,,,ފައުންޑޭޝަން ކްލާސްރޫމް ,3- ކޯނަރތަކުގައި ހުންނަ އެންމެހައި ތަކެއްޗަކީ ދަރިވަރުންނަށް ރައްކާތެރި ތަކެތިކަން ކަށަވަރުކުރޭ ,ފައުންޑޭޝަން ކްލާސްރޫމްތަކުގެ ރައްކައުތެރިކަން ކަށަވަރުކުރުން,3.2.1.4,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
368,1,,,ކްލާސްރޫމް، ލެބް، ލައިބުރަރީ ,1- ބޭރުން އެތެރެ ފެންނަ ގޮތަށް ކްލާސްރޫމުތައް ހުރޭ,ކިޔަވައިދިނުމަށް ބޭނުންކުރާ ތަންތަނަކީ ދަރިވަރުންނާއި މުވައްޒަފުންނަށް ރައްކައުތެރި ތަންތަންކަން ކަށަވަރުކުރުން,3.2.1.5,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
369,1,,,ކްލާސްރޫމް، ލެބް، ލައިބުރަރީ ,2- ދަރިވަރުންނަށް ފަސޭހަވާ ގޮތަށް ކުލާސްރޫމުގައި އަލިކަން ހުރޭ,ކިޔަވައިދިނުމަށް ބޭނުންކުރާ ތަންތަނަކީ ދަރިވަރުންނާއި މުވައްޒަފުންނަށް ރައްކައުތެރި ތަންތަންކަން ކަށަވަރުކުރުން,3.2.1.5,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
370,1,,,ކްލާސްރޫމް، ލެބް، ލައިބުރަރީ ,3- ދަރިވަރުންނަށް ރައްކައުތެރި ގޮތަށް ކަރަންޓް ސޮކެޓު ފަދަ ތަކެތި ހަރުުކޮށްފައި ވޭ ,ކިޔަވައިދިނުމަށް ބޭނުންކުރާ ތަންތަނަކީ ދަރިވަރުންނާއި މުވައްޒަފުންނަށް ރައްކައުތެރި ތަންތަންކަން ކަށަވަރުކުރުން,3.2.1.5,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
371,1,,,ކްލާސްރޫމް، ލެބް، ލައިބުރަރީ ,1- ކިޔަވައިދިނުމަށް ބޭނުންކުރާ ތަންތަނުގެ ފާރުތައް އަދި ސީލިންގ ފަދަ ތަންތަން ސާފުކުރޭ,ކިޔަވައިދިނުމަށް ބޭނުންކުރާ ތަންތަން ސާފުތާހިރުކޮށް ބެލެހެއްޓުން,3.2.1.6,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
372,1,,,ކްލާސްރޫމް، ލެބް، ލައިބުރަރީ ,2- ކިޔަވައިދިނުމަށް ބޭނުންކުރާ ތަންތަނުގައި ޑަސްބިން ބަހައްޓައިފައި ވޭ,ކިޔަވައިދިނުމަށް ބޭނުންކުރާ ތަންތަން ސާފުތާހިރުކޮށް ބެލެހެއްޓުން,3.2.1.6,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
373,1,,,ކްލާސްރޫމް، ލެބް، ލައިބުރަރީ ,3- ކިޔަވައިދިނުމަށް ބޭނުންކުރާ ތަންތަނުގެ ފަރުނީޗަރާއި ފޮތްތައް ފަދަ ތަކެތި ތަރުތީބުން އަތުރައިފައި ވޭ,ކިޔަވައިދިނުމަށް ބޭނުންކުރާ ތަންތަން ސާފުތާހިރުކޮށް ބެލެހެއްޓުން,3.2.1.6,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
374,1,,,ސްކޫލުގެ ގޯތިތެރެއާއި އިމާރާތްތަައް,1- ސްކޫލް ގޯތިތެރެ ކުނިކަހައި ސާފުކުރޭ,ސްކޫލް ގޯތިތެރެ ސާފުތާހިރުކޮށް ބެލެހެއްޓުން,3.2.1.7,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
375,1,,,ސްކޫލުގެ ގޯތިތެރެއާއި އިމާރާތްތަައް,2- ގޯތިތެރޭގައި ޑަސްބިން ބަހައްޓައިފައި ވޭ,ސްކޫލް ގޯތިތެރެ ސާފުތާހިރުކޮށް ބެލެހެއްޓުން,3.2.1.7,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
392,1,,,ބޯފެން ފޯރުކޮށްދިނުމުގެ އިންތިޒާމް,2- ފަސޭހައިން ބޯފެން ލިބޭނެ އިންތިޒާމު ހަމަޖައްސައިފައި ވޭ,ރައްކާތެރި ބޯފެން ފޯރުކޮށްދިނުން,3.4.1.1,ފެނާއި ފާޚާނާގެ ނިޒާމު ޤާއިމުކުރުން,3.4.1,ފެންވަރު 3.4: ވޯޓަރ، ސެނިޓޭޝަން އެންޑް ހައިޖިން (ވޮޝް) 
394,1,,,ފާޚާނާ (50 ފިރެހެން ދަރިވަރަކަށް 1، ކޮންމެ 35 އަންހެން ދަރިވަރަކަށް 1 ,"1- ދަރިވަރުންނަށް ބޭނުންވާ އަދަދަށް (ދެ ޖިންސަށް ވަކިން) ފާޚާނާ ހުރޭ

",ފާޚާނާ ހުރުން ,3.4.1.2,ފެނާއި ފާޚާނާގެ ނިޒާމު ޤާއިމުކުރުން,3.4.1,ފެންވަރު 3.4: ވޯޓަރ، ސެނިޓޭޝަން އެންޑް ހައިޖިން (ވޮޝް) 
395,1,,, ކޮންމެ 20 އަންހެން މުވައްޒަފަކަށް 1ފާޚާނާ، ކޮންމެ 35 ފިރެހެން މުވައްޒަފަކަށް 1 ފާޚާނާ,"2- މުވައްޒަފުންނަށް ބޭނުންވާ އަދަދަށް (ދެ ޖިންސަށް ވަކިން) ފާޚާނާ ހުރޭ

",ފާޚާނާ ހުރުން ,3.4.1.2,ފެނާއި ފާޚާނާގެ ނިޒާމު ޤާއިމުކުރުން,3.4.1,ފެންވަރު 3.4: ވޯޓަރ، ސެނިޓޭޝަން އެންޑް ހައިޖިން (ވޮޝް) 
396,1,,,ފައުންޑޭޝަން ދަރިވަރުންގެ ފާޚާނާ,3- ފައުންޑޭޝަން އަދި ގުރޭޑް 1ގެ ދަރިވަރުންގެ އުމުރާ ގުޅޭ ފާޚާނާ ހުރޭ,ފާޚާނާ ހުރުން ,3.4.1.2,ފެނާއި ފާޚާނާގެ ނިޒާމު ޤާއިމުކުރުން,3.4.1,ފެންވަރު 3.4: ވޯޓަރ، ސެނިޓޭޝަން އެންޑް ހައިޖިން (ވޮޝް) 
