IndicatorCode,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
24,3- ކޮމިޓީގެ މަޢުލޫމާތު ކަމާ ގުޅުންހުރި ފަރާތްތަކާ ހިއްސާކޮށްފައި ވޭ,އިންކްލޫޝަން ކޮމިޓީ އެކުލަވައިލުން,1.2.1.1,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
25,1- މަސްއޫލިއްޔަތު އަދާކުރުމަށް ވަކި މުވައްޒަފަކު ހަމަޖައްސައި ވަޒީފާ ބަޔާނުގައި ސޮއިކުރުވައިފައި ވޭ, އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންތައްތައް ބެލެހެއްޓުމުގެ މަސްއޫލިއްޔަތު ހަވާލުކުރުން,1.2.1.2,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
26,2- މަސްއޫލިއްޔަތު އަދާކުރާކަން ސުޕަވައިޒަރު ކަށަވަރުކުރޭ , އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންތައްތައް ބެލެހެއްޓުމުގެ މަސްއޫލިއްޔަތު ހަވާލުކުރުން,1.2.1.2,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
27,3- ތަމްރީނު ލިބިފައިވާ ސެން މުދައްރިސުން، ދަރިވަރުންގެ ނިސްބަތުން ތިބޭ, އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންތައްތައް ބެލެހެއްޓުމުގެ މަސްއޫލިއްޔަތު ހަވާލުކުރުން,1.2.1.2,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
28,1- ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ ހެދޭ ގޮތަށް، ސްކޫލުގެ ގޭޓާއި ކޮމްޕައުންޑް ތައްޔާރުކޮށްފައި ވޭ,ޖިސްމާނީ ގޮތުން އެހީތެރިކަން ބޭނުންވާ ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ އުޅެވޭ ގޮތް ހެދުން,1.2.1.3,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
29,2-  ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ ހެދޭ ގޮތަށް، ކްލާސްރޫމްތައް ތައްޔާރުކޮށްފައި ވޭ,ޖިސްމާނީ ގޮތުން އެހީތެރިކަން ބޭނުންވާ ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ އުޅެވޭ ގޮތް ހެދުން,1.2.1.3,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
30,3- ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ ހެދޭ ގޮތަށް، ސްކޫލުގެ އެެހެނިހެން ތަންތަން ތައްޔާރުކޮށްފައި ވޭ,ޖިސްމާނީ ގޮތުން އެހީތެރިކަން ބޭނުންވާ ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ އުޅެވޭ ގޮތް ހެދުން,1.2.1.3,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
31,1- ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ ވަސީލަތްތައް ދެނެގަނެފައި ވޭ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް ބޭނުންވާ ވަސީލަތްތައް ހޯދުން,1.2.2.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް ބޭނުންވާ ވަސީލަތްތައް ޤާއިމުކުުރުން,1.2.2,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
32,"2- ދަރިވަރުންނަށް ބޭނުންވާ ވަސީލަތްތައް ފަސޭހައިން ބޭނުންކުރެވޭ ގޮތަށް ހުރޭ


 ",ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް ބޭނުންވާ ވަސީލަތްތައް ހޯދުން,1.2.2.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް ބޭނުންވާ ވަސީލަތްތައް ޤާއިމުކުުރުން,1.2.2,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
33,"3- ކޮމްޕްލެކްސް ލާނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންގެ ތެރެއިން އިތުރު ވަސީލަތްތައް/އެހީ ބޭނުންވާ ދަރިވަރުންގެ މަޢުލޫމާތު، މިނިސްޓްރީއާ ހިއްސާކޮށްފައި ވޭ


 ",ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް ބޭނުންވާ ވަސީލަތްތައް ހޯދުން,1.2.2.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް ބޭނުންވާ ވަސީލަތްތައް ޤާއިމުކުުރުން,1.2.2,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
