,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް - ޕްރިންސިޕަލް / ޑެޕިއުޓީ ޕްރިންސިޕަލް,,,,,,,
IndicatorCode,Average,ބަލާނެ ލިޔެކިޔުން/Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
544,1,އޮބްޒަވޭޝަން ފޯމް އަދި ޝެޑިއުލް,2- ލީޑިންގ ޓީޗަރުންގެ ފިލާވަޅުތައް ތާވަލުކޮށްގެން އޮބްޒަރވްކޮށް ލިޔުމުން ފީޑްބެކް ދޭ,އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ކަންކަން މޮނިޓަރކުރުން,5.4.2.2,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
545,1,ޓައިމް ޓޭބަލް/ލެސަން ޕްލޭން,3- ހުރިހައި ލީޑިންގ ޓީޗަރުންނަށް ކިޔަވައިދޭނެ ގަޑިތައް ހަވާލުކޮށް، އެ ގަޑިތަކުގައި ކިޔަވައިދޭކަން ކަށަވަރުކުރޭ,އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ކަންކަން މޮނިޓަރކުރުން,5.4.2.2,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
546,1,އެސެސްމަންޓް އެނަލިސިސް/ޕީޕީޓީ/ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ,1- އެސެސްމަންޓް އެނަލިސިސްގެ ހޯދުންތަކާ ގުޅޭ ގޮތުންހިއްސާވާ ފަރާތްތަކާ މަޝްވަރާކުރޭ,އެސެސްމަންޓްތަކާ ގުޅިގެން އަޅަންޖެހޭ ފިޔަވަޅުތައް އެޅުން,5.4.2.3,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
547,1,އެސެސްމަންޓް އެނަލިސިސް/ޕީޕީޓީ/ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ,2- އެސެސްމަންޓް އެނަލިސިސްގެ ހޯދުންތަކާ ގުޅިގެން އުނގެނުމާއި އުނގަންނައިދިނުމަށް ގެންނަންޖެހޭ ބަދަލުތައް ގެންނަކަން ކަށަވަރުކުރޭ,އެސެސްމަންޓްތަކާ ގުޅިގެން އަޅަންޖެހޭ ފިޔަވަޅުތައް އެޅުން,5.4.2.3,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
548,1,ޕީޑީ ޕްލޭން/އިމްޕްލިމެންޓޭޝަން ޗެކްލިސްޓް/ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ/ކޯޑިނޭޝަން,3- އެސެސްމަންޓް އެނަލިސިސްގެ ހޯދުންތަކަށް ބިނާކޮށް، މުދައްރިސުންނަށް ބޭނުންވާ ފަންނީ ލަފަޔާއި އިރުޝާދު ދޭ,އެސެސްމަންޓްތަކާ ގުޅިގެން އަޅަންޖެހޭ ފިޔަވަޅުތައް އެޅުން,5.4.2.3,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
804,1,އޮބްޒަވޭޝަން ފޯމް/ސުޕަވިޝަން ތާވަލު,1- ލީޑިން ޓީޗަރުންގެ ފިލާވަޅުތައް އޮބްޒަރވްކޮށް ލިޔުމުން ފީޑްބެކް ދޭ,އުނގެނުމާއި އުނގަންނައިދިނުމާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,5.4.2.4,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
805,1,އޮބްޒަވޭޝަން ފޯމް/ސުޕަވިޝަން ތާވަލު,2- މުދައްރިސުންގެ ފިލާވަޅުތައް އޮބްޒަރވްކޮށް ލިޔުމުން ފީޑްބެކް ދޭ,އުނގެނުމާއި އުނގަންނައިދިނުމާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,5.4.2.4,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
550,1,އެކްޓިވިޓީ ކަލަންޑަރ/އިމްޕްލިމެންޓޭޝަން ޗެކްލިސްޓް,1- އެކްޓިވިޓީ ކަލަންޑަރުގައި ހިމަނައިފައިވާ ހަރަކާތްތައް ކުރިއަށް ގެންދާކަން ކަށަވަރުކުރޭ,ސްކޫލް ތެރޭގައި ހަރަކާތްތެރިވެ އުޅުން,5.4.3.1,ޕްރިންސިޕަލުގެ  ބައިވެރިވުމާއި ހަރަކާތްތެރިކަން,5.4.3,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
551,1,އިރުޝާދު ދިންކަމުގެ ހެއްކެއް,2- ހަރަކާތްތައް ކުރިއަށް ގެންދިއުމަށް ބޭނުންވާ ލަފަޔާއި އިރުޝާދު ދޭ,ސްކޫލް ތެރޭގައި ހަރަކާތްތެރިވެ އުޅުން,5.4.3.1,ޕްރިންސިޕަލުގެ  ބައިވެރިވުމާއި ހަރަކާތްތެރިކަން,5.4.3,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
553,1,ވީކްލީ ރެކޯޑްސް/މޮނިޓަރިން މެކޭނިޒަމް,2- މުވައްޒަފުންގެ މަސައްކަތްތައް ރިޕޯޓުކުރާނެ ނިޒާމެއް ހަމަޖައްސައިފައި ވޭ,މުވައްޒަފުންނާ ހަވާލުކޮށްފައިވާ ޒިންމާތަކާއި މަސްއޫލިއްޔަތުތަކަށް ޕްރިންސިޕަލް މުވައްޒަފުން ޖަވާބުދާރީކުރުވުން,5.4.4.1, ޕްރިންސިޕަލް، މުވައްޒަފުން ޖަވާބުދާރީކުރުވުން,5.4.4,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
