,ދާއިރާ 1: ހުރިހައި ދަރިވަރުން ޝާމިލުކުރުން –  (ލީޑިންގ ޓީޗަރ/ އެމްބެސެޑަރ) ,,,,,,,,,
40,1,އެލްޓީ/ސެން އެލްޓީ/ކައުންސެލަރ,,އެފަދަ ދަރިވަރުންގެ ލިސްޓް/ގައިޑެންސް/ކައުންސެލިން ފޯރުކޮށްދީފައިވާ ކޭސް ނޯޓްސް,3- ސްކޫލުން ވަކިވެދާނެކަމުގެ ބިރު ހީވާ ދަރިވަރުންނަށް ގައިޑެންސް ފޯރުކޮށްދޭ,,,,,
48,1,ސެން އެލްޓީ,,އައި ސީ ޕީތައް/ގައިޑުލައިން,1- އައިސީޕީ ގައިޑްލައިނަށް ރިޢާޔްތްކޮށްގެން އައި ސީ ޕީ ތައްޔާރުކޮށްފައި ވޭ,ބޭނުންވާ ދަރިވަރުންނަށް އައި ސީ ޕީ ތައްޔާރުކުރުން,1.4.1.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް  އުނގަންނައިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން,1.4.1,ފެންވަރު 1.4: ކޮމްޕްލެކްސް ލާނިންގް ޕްރޮފައިލް  (SCLP)ލިބިފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން
49,1,ސެން އެލްޓީ,,އައި ސީ ޕީ ޓީމުގެ ހުރިހައި ފަރާތްތަކުން ސޮއިކޮށްފައިވާ އައިސީޕިތައް,2-  އައިސީޕީ ޓީމުގެ ލަފަޔާއި އިރުޝާދާ އެއްގޮތަށް އައި ސީ ޕީތައް ފައިނަލުކޮށްފައި ވޭ,,,,,
50,1,ސެން އެލްޓީ,,އައި ސީ ޕީ ޓީމުގެ ހުރިހައި ފަރާތްތަކުން ސޮއިކޮށްފައިވާ އައި ސީ ޕިތައް,3- ކޮންމެ 6 މަހަކުން އައި ސީ ޕީ އަދާހަމަކޮށް، ބެލެނިވެރިންނާ ހިއްސާކުރޭ,,,,,
51,1,ސެން އެލްޓީ,,ސްޓޫޑެންޓްސް ވިތް ކޮމްޕްލެކްސް ލާނިންގ ޕްރޮފައިލް(އެސް ސީ އެލް ޕީ)ގައި ހިމެނޭ ދަރިވަރުންގެ ލިސްޓް/އަައިސީޕީތައް,1- މެއިންސްޓްރީމް ނުކުރެވޭ ދަރިވަރުންނަށް އުނގަންނައިދިނުމަށް އައި ސީ ޕީ ބޭނުންކުރޭ,އުނގަންނައިިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން ,1.4.1.2,,,
52,1,ސެން އެލްޓީ,,ސްޓޫޑެންޓްސް ވިތް ކޮމްޕްލެކްސް ލާނިންގ ޕްރޮފައިލް(އެސް ސީ އެލް ޕީ)ގައި ހިމެނޭ ދަރިވަރުންގެ ލިސްޓް/އަައިސީޕީތައް,2- މެއިންސްޓްރީމްކޮށްފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުމަށް އައި ސީ ޕީ ބޭނުންކުރޭ,,,,,
53,1,ސެން އެލްޓީ,,ސްޓޫޑެންޓްސް ވިތް ކޮމްޕްލެކްސް ލާނިންގ ޕްރޮފައިލް(އެސް ސީ އެލް ޕީ)ގައި ހިމެނޭ ދަރިވަރުންގެ ލިސްޓް/އަައިސީޕީތައް,3- އުނގެނުމުގައި  ތޫނުފިލި އަދި ހުނަރުވެރި ދަރިވަރުންނަށް އުނގަންނައިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރޭ,,,,,
59,1,ސެން އެލްޓީ,,ދަރިވަރުންގެ ލިސްޓު/ޕޯޓަލް,1- ދަރިވަރުންގެ ލިސްޓް ތައްޔާރުކޮށްފައި ވޭ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުން ދެނެގަތުން,1.6.1.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން ,1.6.1,ފެންވަރު 1.6: ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން
60,1,ސެން އެލްޓީ,,ދަރިވަރުންގެ ލިސްޓު,2- ދަރިވަރުންނަށް އެހީތެރިކަން ބޭނުންވާ ދާއިރާތައް ފާހަގަކޮށްފައި ވޭ,,,,,
61,1,ސެން އެލްޓީ,,"- ޔައުމިއްޔާ
- ހާޒިރީ",3- ދަރިވަރުންގެ މަޢުލޫމާތު ގުޅުންހުރި މުދައްރިސުންނާއި ބެލެނިވެރިންނާ ހިއްސާކޮށްފައި ވޭ,,,,,
62,1,ސެން އެލްޓީ,,ޓްރާންސިޝަން ރިޕޯޓް,1- ދަރިވަރުންގެ މަޢުލޫމާތު އެއް ގްރޭޑުން އަނެއް ގްރޭޑަށް ފޯރުކޮށްދެވޭނެ ޓްރާންސިޝަން ޕްރޮފައިލް ބޭނުންކުރޭ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,1.6.1.2,,,
63,1,ސެން އެލްޓީ,,ޔައުމިއްޔާ/ ހާޒިރީ ,2- ބެލެނިވެރިންނާ އެކު ބާއްވާ ބައްދަލުވުންތަކުގެ ލިޔެކިޔުންތައް ބަލަހައްޓާ,,,,,
64,1,ސެން އެލްޓީ,,އެފަދަ ދަރިވަރުންގެ ލިސްޓް/ ފޯރުކޮށްދީފައިވާ އެހީތެރިކަމާ ގުޅުންހުރި ލިޔެކިއުންތައް,3- ސްކޫލަށް ހާޒިރުނުވެވޭ ފަދަ ހާލަތެއް ދިމާވެފައިވާ ދަރިވަރުންނަށް ފޯރުކޮށްދޭ އެހީތެރިކަމާ ގުޅޭ ރެކޯޑުތައް ބަލަހައްޓާ,,,,,
